Time ms,AlphaAbs1,AlphaAbs2,AlphaAbs3,AlphaAbs4
42071,0.448024277,-0.513178673,-0.650353568,0.263741458
42130,0.457609893,-0.532844925,-0.638303514,0.253731058
42211,0.459573159,-0.545258064,-0.634918239,0.253731058
42341,0.443521389,-0.55976283,-0.634918239,0.253731058
42428,0.415524962,-0.615770878,-0.634918239,0.235574727
42576,0.398205831,-0.710417112,-0.634918239,0.16051969
42655,0.378602092,-0.764642632,-0.634918239,0.070008754
42715,0.374383657,-0.789452873,-0.634918239,-0.026633698
42883,0.370474449,-0.814484493,-0.634918239,-0.082590366
42945,0.365252965,-0.821573781,-0.62857522,-0.131933934
43024,0.360897496,-0.823281205,-0.623186887,-0.164982849
43175,0.340113823,-0.849018744,-0.613216235,-0.164982849
43234,0.293451998,-0.879971722,-0.620121335,-0.164982849
43337,0.244624869,-0.89873212,-0.659481414,-0.16143823
43439,0.185411395,-0.920415587,-0.702967614,-0.197961151
43518,0.177353654,-0.97038847,-0.73530715,-0.25613315
43689,0.171164427,-1.024396255,-0.728544815,-0.293944945
43749,0.161092934,-1.069959958,-0.719500195,-0.324515921
43804,0.119545692,-1.110146795,-0.714118234,-0.335952744
43959,0.043332844,-1.139800469,-0.709511934,-0.337611448
44038,-0.050354001,-1.127418027,-0.703630801,-0.350354774
44115,-0.142932693,-1.022764513,-0.70246024,-0.389637193
44264,-0.182354925,-0.850509343,-0.689463036,-0.429881562
44324,-0.182354925,-0.646518553,-0.610860932,-0.429881562
44382,-0.182354925,-0.464629412,-0.547775215,-0.429881562
44543,-0.182354925,-0.348215284,-0.494331209,-0.429881562
44619,-0.182354925,-0.307317551,-0.46259564,-0.429881562
44761,-0.182354925,-0.297206669,-0.414806802,-0.429881562
44861,-0.182354925,-0.293681087,-0.335219922,-0.429881562
44900,-0.182354925,-0.293681087,-0.157502885,-0.429881562
45063,-0.182354925,-0.293681087,0.022339965,-0.429881562
45140,-0.182354925,-0.293681087,0.190847113,0.380283656
45198,0.342984583,-0.293681087,0.281390522,0.396085633
45364,0.342984583,-0.293681087,0.306539127,0.404001486
45449,0.342984583,-0.207625986,0.306539127,0.406208808
45486,0.342984583,-0.125953088,0.306539127,0.406208808
45635,0.342984583,-0.065966635,0.306539127,0.407671447
45758,0.342984583,-0.039696017,0.306539127,0.407671447
45866,0.342984583,-0.029599606,0.306539127,0.407671447
45950,0.342984583,-0.029599606,0.306539127,0.407671447
46009,0.342984583,-0.038844448,0.306539127,0.441511374
46147,0.342984583,-0.063516944,0.306539127,0.486581739
46224,0.342984583,-0.075227751,0.306539127,0.513356678
46307,0.342984583,-0.075227751,0.306539127,0.511902755
46457,0.342984583,-0.075227751,0.306539127,0.501065329
46514,0.342984583,-0.075227751,0.304263241,0.467113651
46592,0.342984583,-0.075227751,0.287317616,0.416438903
46736,0.342984583,-0.075227751,0.258235478,0.372927094
46818,0.342984583,-0.071356478,0.187900064,0.360277348
46964,0.342984583,-0.064467168,0.070711378,0.357464966
47044,0.342984583,-0.045639683,-0.034038815,0.357464966
47122,0.342984583,-0.019950193,-0.048362811,0.357464966
47262,0.342984583,-0.006812497,-0.048362811,0.357464966
47319,0.342984583,-0.0357244,-0.048362811,0.357464966
47420,0.342984583,-0.103254305,-0.048362811,0.357464966
47570,0.342984583,-0.178626453,-0.048362811,0.357464966
47627,0.342984583,-0.252250973,-0.048362811,0.357464966
47697,0.342984583,-0.260427502,-0.048362811,0.357464966
47840,0.342984583,-0.253072636,-0.052018384,0.357464966
47892,0.342984583,-0.253072636,-0.066587044,0.357464966
48059,0.342984583,-0.253072636,-0.069676804,0.357464966
48139,0.342984583,-0.253072636,-0.069676804,0.357464966
48195,0.342984583,-0.253072636,-0.069676804,0.357464966
48362,0.431032128,-0.243413195,-0.069676804,0.357464966
48422,0.441983769,-0.202596768,-0.069676804,0.357464966
48477,0.441983769,-0.121158962,-0.069676804,0.357464966
48662,0.441983769,-0.110516013,-0.069676804,0.357464966
48716,0.441983769,-0.123424153,-0.069676804,0.357464966
48791,0.441983769,-0.136454933,-0.069676804,0.357464966
48932,0.441983769,-0.136454933,-0.069676804,0.357464966
49006,0.441983769,-0.136454933,-0.069676804,0.357464966
49152,0.441983769,-0.136454933,-0.069676804,0.357464966
49251,0.441983769,-0.136454933,-0.069676804,0.357464966
49305,0.441983769,-0.136454933,-0.069676804,0.357464966
49444,0.441983769,-0.136454933,-0.069676804,0.357464966
49536,0.441983769,-0.136454933,-0.069676804,0.357464966
49586,0.441983769,-0.136454933,-0.069676804,0.357464966
49722,0.441983769,-0.136454933,-0.069676804,0.357464966
49836,0.441983769,-0.136454933,-0.069676804,0.357464966
49890,0.441983769,-0.136454933,-0.069676804,0.357464966
50026,0.441983769,-0.136454933,-0.069676804,0.357464966
50102,0.441983769,-0.136454933,-0.069676804,0.357464966
50244,0.441983769,-0.136454933,-0.069676804,0.357464966
50316,0.441983769,-0.136454933,-0.069676804,0.357464966
50388,0.441983769,-0.136454933,-0.069676804,0.357464966
50553,0.441983769,-0.136454933,-0.069676804,0.357464966
50609,0.441983769,-0.136454933,-0.069676804,0.357464966
50682,0.441983769,0.011005978,-0.069676804,0.357464966
50820,0.441983769,0.011005978,-0.069676804,0.357464966
50897,0.441983769,0.011005978,-0.069676804,-0.090181281
50972,0.441983769,0.011005978,-0.069676804,-0.090181281
51138,0.441983769,0.011005978,-0.069676804,-0.090181281
51214,0.441983769,0.011005978,-0.069676804,-0.090181281
51356,0.441983769,0.011005978,-0.069676804,-0.090181281
51410,0.441983769,0.011005978,-0.069676804,-0.090181281
51508,0.441983769,0.011005978,-0.069676804,-0.090181281
51669,0.441983769,0.011005978,-0.069676804,-0.090181281
51713,0.441983769,-0.006690079,-0.069676804,-0.090181281
51768,0.441983769,-0.020737459,-0.069676804,-0.090181281
51931,0.441983769,-0.083868761,-0.069676804,-0.090181281
52004,0.441983769,-0.223977564,-0.069676804,-0.090181281
52078,0.441983769,-0.433389835,-0.069676804,-0.090181281
52214,0.441983769,-0.612784196,-0.069676804,-0.090181281
52288,0.441983769,-0.612784196,-0.069676804,-0.090181281
52449,0.441983769,-0.612784196,-0.069676804,-0.090181281
52500,0.441983769,-0.612784196,-0.069676804,-0.090181281
52599,0.441983769,-0.612784196,-0.069676804,-0.090181281
52735,0.441983769,-0.612784196,-0.069676804,-0.090181281
52814,0.441983769,-0.612784196,-0.069676804,-0.090181281
52886,0.441983769,-0.327666659,-0.069676804,-0.090181281
53020,0.441983769,-0.327666659,-0.069676804,-0.090181281
53100,0.441983769,-0.327666659,-0.069676804,-0.090181281
53245,0.441983769,-0.327666659,-0.069676804,-0.090181281
53347,0.441983769,-0.327666659,-0.069676804,-0.090181281
53402,0.441983769,-0.327666659,-0.069676804,-0.090181281
53548,0.441983769,-0.327666659,-0.849093609,-0.090181281
53650,0.441983769,-0.327666659,-0.812650082,-0.090181281
53689,0.441983769,-0.327666659,-0.755399015,-0.090181281
53829,0.441983769,-0.327666659,-0.678339736,-0.090181281
53950,0.441983769,-0.403963417,-0.595246065,-0.090181281
53984,0.441983769,-0.509659906,-0.55631572,-0.090181281
54129,0.441983769,-0.59590272,-0.546452165,-0.090181281
54181,0.441983769,-0.582279477,-0.546452165,-0.090181281
54347,0.441983769,-0.581199145,-0.541583435,-0.090181281
54402,0.441983769,-0.613817559,-0.523271386,-0.090181281
54498,0.441983769,-0.669814632,-0.471234442,-0.090181281
54641,0.441983769,-0.685580039,-0.380058859,-0.090181281
54719,0.441983769,-0.685580039,-0.324041359,-0.090181281
54797,0.441983769,-0.683189964,-0.303686466,-0.090181281
54926,0.441983769,-0.663818664,-0.296411218,-0.090181281
55005,0.441983769,-0.633969,-0.296004729,-0.090181281
55085,0.441983769,-0.61939244,-0.296004729,-0.090181281
55232,0.441983769,-0.597485335,-0.296004729,-0.090181281
55310,0.441983769,-0.578488606,-0.296004729,-0.090181281
55453,0.441983769,-0.561725056,-0.301764417,-0.090181281
55508,0.441983769,-0.539657969,-0.314283762,-0.090181281
55609,0.441983769,-0.506852503,-0.342928722,-0.090181281
55757,0.441983769,-0.512004183,-0.348558784,-0.090181281
55814,0.441983769,-0.503475771,-0.338047827,-0.090181281
55916,0.441983769,-0.499246678,-0.325711513,-0.090181281
56023,0.441983769,-0.50724749,-0.318200441,-0.090181281
56107,0.441983769,-0.517796628,-0.318200441,0.027612722
56184,0.441983769,-0.532634117,-0.325151313,0.027612722
56327,0.441983769,-0.532634117,-0.360325415,0.027612722
56384,0.441983769,-0.532634117,-0.368458707,0.036006418
56537,0.441983769,-0.525154516,-0.380029156,0.053388082
56615,0.441983769,-0.518088528,-0.422552713,0.078472278
56697,0.441983769,-0.522702328,-0.473344456,0.113958691
56846,0.441983769,-0.532150095,-0.494326497,0.140073739
56906,0.4288825,-0.545944109,-0.494326497,0.149756724
56995,0.4288825,-0.570034903,-0.498336092,0.150561157
57138,0.4288825,-0.603638215,-0.518155005,0.139691885
57219,0.429822944,-0.62181797,-0.554917776,0.107465525
57278,0.436431236,-0.658650585,-0.596195576,0.046729907
57452,0.443954207,-0.694944461,-0.620654158,0.028444596
57493,0.378060866,-0.73392266,-0.648931375,0.020700616
57639,0.106194865,-0.776954124,-0.678210073,0.014869565
57699,0.119357439,-0.824559359,-0.708085149,-0.001826255
57807,0.126422868,-0.848534576,-0.750170821,-0.027854081
57938,0.165965462,-0.866746951,-0.776208603,-0.039869236
57997,0.224878055,-0.841433946,-0.789320984,-0.039869236
58080,0.318692713,-0.78037716,-0.802376784,-0.029400231
58220,0.447037943,-0.677368876,-0.785541072,0.052828945
58306,0.528275273,-0.584159496,-0.754170542,0.218648868
58367,0.528275273,-0.52308553,-0.677684413,0.336731002
58535,0.528275273,-0.494659594,-0.557162575,0.372175205
58595,0.550764667,-0.485581959,-0.480456813,0.372175205
58745,0.550764667,-0.485329556,-0.451096112,0.372175205
58803,0.550764667,-0.47701451,-0.432182462,0.372175205
58881,0.550764667,-0.446546329,-0.424585848,0.372175205
59024,0.550764667,-0.390584311,-0.424585848,0.372175205
59135,0.550764667,-0.351821444,-0.424585848,0.372175205
59174,0.550764667,-0.342722126,-0.420797651,0.372175205
59317,0.550764667,-0.340134796,-0.418857943,0.372175205
59427,0.550764667,-0.340134796,-0.418857943,0.372175205
59470,0.543743993,-0.340134796,-0.418857943,0.372175205
