Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe1, Horseshoe2, Horseshoe4 
4771,0.894869306,0.884999424,0.810975309,0.773140761,0.057965409,-0.042728592,-0.648028051,-0.267615937,0.131576936,-0.263148103,-0.482800913,-0.400147476,0.601602961,0.436604411,0.208172889,0.285375077,-0.334703811,-0.773814585,-0.449359924,-0.634309531,-0.334703811,-0.773814585,-0.449359924,-0.634309531,1,1,1,1
4920,0.91131911,0.853744798,0.810975309,0.802750407,0.057965409,-0.042728592,-0.679283137,-0.267615937,0.131576936,-0.263148103,-0.46814146,-0.37669991,0.601602961,0.436604411,0.200543541,0.364706695,-0.334703811,-0.773814585,-0.435417071,-0.60521643,-0.334703811,-0.773814585,-0.435417071,-0.60521643,1,1,1,1
4978,0.898159267,0.845519896,0.809330329,0.807685348,0.057965409,-0.042728592,-0.687689858,-0.267615937,0.131576936,-0.263148103,-0.456140865,-0.353526379,0.601602961,0.436604411,0.191444553,0.498995154,-0.334703811,-0.773814585,-0.421591023,-0.57834592,-0.334703811,-0.773814585,-0.421591023,-0.57834592,1,1,1,1
5144,0.932703854,0.857034758,0.822490171,0.822490171,0.057965409,0.103456296,-0.679776199,-0.267615937,0.131576936,-0.330585408,-0.446511556,-0.336226003,0.601602961,1.229910629,0.178511053,0.651946501,-0.334703811,-0.783573757,-0.409140392,-0.556474903,-0.334703811,-0.783573757,-0.409140392,-0.556474903,1,1,1,1
5202,0.91131911,0.847164876,0.81426527,0.820845191,0.057965409,0.103456296,-0.652726211,-0.267615937,0.131576936,-0.328098174,-0.438727451,-0.327643595,0.601602961,1.240614922,0.156506814,0.783421683,-0.334703811,-0.777299607,-0.399148042,-0.54185084,-0.334703811,-0.777299607,-0.399148042,-0.54185084,1,1,1,1
5287,0.909674129,0.853744798,0.812620289,0.824135152,0.329727078,0.103456296,-0.635259177,-0.277070629,0.180833396,-0.32042271,-0.431626638,-0.327190333,0.713876776,1.235913206,0.120013555,0.876801217,0.043709093,-0.78362315,-0.391713081,-0.533903141,0.043709093,-0.78362315,-0.391713081,-0.533903141,1,1,1,1
5432,0.894869306,0.843874916,0.812620289,0.838939975,0.333613162,0.107123329,-0.635259177,-0.277761301,0.159068395,-0.305395744,-0.425467567,-0.331158497,0.658454454,1.22116166,0.066929809,0.932361664,0.014681605,-0.798816344,-0.387184142,-0.530715567,0.014681605,-0.798816344,-0.387184142,-0.530715567,1,1,1,1
5492,0.921188992,0.857034758,0.81426527,0.830715073,0.333613162,0.132501265,-0.610932149,-0.277761301,0.136490829,-0.286504785,-0.42174122,-0.335665879,0.606404335,1.199799212,-4.16E-04,0.958547024,-0.009798944,-0.816620659,-0.385783037,-0.530875831,-0.009798944,-0.816620659,-0.385783037,-0.530875831,1,1,1,1
5603,0.898159267,0.847164876,0.820845191,0.832360053,0.333613162,0.171251589,-0.563185093,-0.277761301,0.120239353,-0.268603876,-0.422240924,-0.340218035,0.568671728,1.173272757,-0.079425641,0.9657446,-0.025699215,-0.828591463,-0.3871353,-0.535115434,-0.025699215,-0.828591463,-0.3871353,-0.535115434,1,1,1,1
5732,0.797815466,0.750111036,0.834005034,0.705696567,0.333613162,0.232440088,-0.531821751,-0.274977779,0.112579055,-0.258325785,-0.428128319,-0.347651524,0.542336131,1.144142772,-0.166832888,0.962735137,-0.034151008,-0.831400502,-0.391837562,-0.544000639,-0.034151008,-0.831400502,-0.391837562,-0.544000639,1,1,1,1
