Packet time, Time ms, Eeg TP9, Eeg TP10, Eeg FP1, Eeg FP2, AlphaAbs TP9, AlphaAbs TP10, AlphaAbs FP1, AlphaAbs FP2, BetaAbs TP9, BetaAbs TP10, BetaAbs FP1, BetaAbs FP2, Delta TP9, Delta TP10, Delta FP1, Delta FP2, GammaAbs TP9, GammaAbs TP10, GammaAbs FP1,GammaAbs FP2, ThetaAbs TP9, ThetaAbs TP10, ThetaAbs FP1, ThetaAbs FP2, Horseshoe tp9, Horseshoe TP10, Horseshoe FP1, Horseshoe FP2 
1438795063848605,223219,0.8323600532973632,0.8224901712424537,0.8389399746673027,0.835650013982333,0.15493528754881264,0.24876082899613491,-0.22479102700699655,-0.7941981121536431,-0.12051509628916156,-0.17297847362695,-0.8403796303681943,-1.1501701476787611,0.44899251247475064,0.05414238020726851,0.1268907699427906,-0.5485316497039107,-0.8325274510840973,-0.5099692312416245,-1.3187793451876317,-1.58478656729691,-0.8325274510840973,-0.5099692312416245,-1.3187793451876317,-1.58478656729691,1,1,1,1
1438795063916264,223352,0.8274251122699084,0.8224901712424537,0.835650013982333,0.8389399746673027,0.1334717615672148,0.2290401151029979,-0.13035351405729068,-0.8018410818830207,-0.10497998209306583,-0.1517414947749315,-0.7842928620475389,-1.1318721288464393,0.38622830897562327,-0.027135734272619748,0.16863103132642668,-0.5388407630480903,-0.8156261351253418,-0.4931054268737582,-1.3056980087027397,-1.607241058397983,-0.8156261351253418,-0.4931054268737582,-1.3056980087027397,-1.607241058397983,1,1,1,1
1438795064069694,223434,0.8257801319274235,0.8274251122699084,0.8290700926123933,0.835650013982333,0.08614515812886538,0.20761404241382111,-0.07462983676740842,-0.8176852290155661,-0.09301992168962063,-0.1283959924279757,-0.7283648225574202,-1.1113453891373455,0.30424853793890466,-0.10012252110792817,0.28987872376274343,-0.4948998135842233,-0.7982565274989839,-0.4833827459746629,-1.2867360238782382,-1.6242277682574453,-0.7982565274989839,-0.4833827459746629,-1.2867360238782382,-1.6242277682574453,1,1,1,1
1438795064111502,223474,0.8257801319274235,0.817555230214999,0.8389399746673027,0.8274251122699084,0.04326047636519562,0.18589836184617572,-0.08252196453356275,-0.8211061523673675,-0.08870954036166295,-0.10696900312659555,-0.6860445363633059,-1.0944255585459042,0.2185545392538546,-0.14074862872732,0.41689153692473196,-0.43516001434327384,-0.7814052237646438,-0.47629840576954596,-1.2671615399536336,-1.6272600961388477,-0.7814052237646438,-0.47629840576954596,-1.2671615399536336,-1.6272600961388477,1,1,1,1
1438795064233801,223657,0.8290700926123933,0.8224901712424537,0.8389399746673027,0.8323600532973632,0.029221041541240052,0.16497220765880063,-0.09787741225202705,-0.8211061523673675,-0.0957638510573567,-0.08984047882251073,-0.6614202894785626,-1.0842132734439887,0.1438756440392971,-0.15273436557779765,0.510956406171948,-0.3813456406141099,-0.7694136650716119,-0.4685143155832216,-1.2542026172200436,-1.6144906337198521,-0.7694136650716119,-0.4685143155832216,-1.2542026172200436,-1.6144906337198521,1,1,1,1
1438795064335629,223700,0.8455198960372424,0.8389399746673027,0.8405849550097877,0.835650013982333,0.027700269950769723,0.16497220765880063,-0.10882920305847865,-0.8211061523673675,-0.11508936288727163,-0.0779786160416284,-0.6506746354491114,-1.0786323679271093,0.08752091340235882,-0.15815512984493563,0.5675849094312398,-0.3389613679800512,-0.7666464937716058,-0.4585252522152521,-1.2511775511200232,-1.591950644013244,-0.7666464937716058,-0.4585252522152521,-1.2511775511200232,-1.591950644013244,1,1,1,1
1438795064418312,223854,0.8323600532973632,0.8192002105574839,0.8422299353522726,0.8307150729548782,-0.0026204678270650254,0.16497220765880063,-0.11394990683340853,-0.8211061523673675,-0.14397952370311493,-0.07252044604948313,-0.647446169645764,-1.0729627125609607,0.04401635776119826,-0.17246853448496466,0.5955133521881434,-0.29981264786927236,-0.7745251815427597,-0.4456884060124993,-1.2586223600410185,-1.56838359177495,-0.7745251815427597,-0.4456884060124993,-1.2586223600410185,-1.56838359177495,1,1,1,1
1438795064552906,223917,0.8274251122699084,0.8257801319274235,0.8389399746673027,0.8307150729548782,-0.07739496030525286,0.15683848970135852,-0.11394990683340853,-0.8349594061072703,-0.17588347571309626,-0.07404955081061383,-0.6460289744905293,-1.0637402540127148,0.006648457714264477,-0.1864692487243211,0.6068598303998883,-0.2512365979905959,-0.7906786270374262,-0.42998689203747287,-1.2722058765465898,-1.5506998722396335,-0.7906786270374262,-0.42998689203747287,-1.2722058765465898,-1.5506998722396335,1,1,1,1
1438795064636580,224009,0.8323600532973632,0.8323600532973632,0.835650013982333,0.8323600532973632,-0.15936691286976398,0.09523486786745723,-0.11308371107409092,-0.8498126928157579,-0.2018018333768748,-0.08149851797408708,-0.6438254247502528,-1.051969712521727,-0.027264835458807132,-0.1821008162367086,0.6100652460460964,-0.1955628244724945,-0.809230780436316,-0.4127173077292705,-1.2860276826926815,-1.540709362537551,-0.809230780436316,-0.4127173077292705,-1.2860276826926815,-1.540709362537551,1,1,1,1
1438795064730129,224166,0.8274251122699084,0.8257801319274235,0.8224901712424537,0.8274251122699084,-0.23889504481553647,-0.01858515659541319,-0.11308371107409092,-0.8461941673719731,-0.21718050576251055,-0.09209004397134021,-0.6399407944992427,-1.0404116190885702,-0.061218177632649105,-0.15319807645322792,0.6089887851787309,-0.14740509991802223,-0.8244946326872299,-0.3979811132891729,-1.297359302501433,-1.537434719572789,-0.8244946326872299,-0.3979811132891729,-1.297359302501433,-1.537434719572789,1,1,1,1
1438795064863781,224228,0.817555230214999,0.8241351515849387,0.8257801319274235,0.8241351515849387,-0.3066781911219896,-0.17212363290519356,-0.11308371107409092,-0.85038378097686,-0.22468108816562457,-0.10277624325153667,-0.6360099808965656,-1.0329116816114519,-0.0989086568179078,-0.10839858042892099,0.605539047591339,-0.1166651717623254,-0.8347628587355577,-0.39154656033471497,-1.3062839326031224,-1.5400023272982148,-0.8347628587355577,-0.39154656033471497,-1.3062839326031224,-1.5400023272982148,1,1,1,1
1438795064945805,224315,0.8372949943248179,0.835650013982333,0.8274251122699084,0.8307150729548782,-0.34315509293609225,-0.2544314041759849,-0.11462931567999463,-0.8617214718922245,-0.23191827861787057,-0.11238331121161993,-0.6335902445432033,-1.0324591047997216,-0.14357116024856278,-0.06322922310026428,0.6006361655072087,-0.10405702222575319,-0.8434134106910192,-0.39841159570862045,-1.3144306353467745,-1.5467400088002172,-0.8434134106910192,-0.39841159570862045,-1.3144306353467745,-1.5467400088002172,1,1,1,1
1438795065012599,224429,0.835650013982333,0.7303712720632989,0.835650013982333,0.8323600532973632,-0.36011902191212675,-0.23028120855098735,-0.11145676911097009,-0.8994981890399254,-0.2450874442439995,-0.12122891751909891,-0.6360680626047901,-1.038945556127287,-0.19028059470679565,-0.026588599877583167,0.5963322212785306,-0.10353614742223376,-0.855008873288528,-0.4199298727111921,-1.3238394468891814,-1.5558863329286654,-0.855008873288528,-0.4199298727111921,-1.3238394468891814,-1.5558863329286654,1,1,1,1
