Time ms,AlphaAbs0,AlphaAbs1,AlphaAbs2,AlphaAbs3, BetaAbs0, BetaAbs1, BetaAbs2, BetaAbs3, DeltaAbs0, DeltaAbs1, DeltaAbs2, DeltaAbs3, GammaAbs0, GammaAbs1, GammaAbs2, GammaAbs3, ThetaAbs0, ThetaAbs1, ThetaAbs2, ThetaAbs3, Horseshoe0, Horseshoe1, Horseshoe2, Horseshoe4 
10531,0,-0.165158581,-0.132895025,0.306129629,0,-0.624226126,-0.260496984,0.329460549,0,0.379174661,0.524161765,0.243045796,0,-1.245805193,-0.617614626,0.176973725,0,-1.245805193,-0.617614626,0.176973725,1,1,1,1
10622,0,-0.114814195,-0.096521023,0.293425221,0,-0.599120379,-0.248320156,0.335700068,0,0.397068804,0.432836734,0.24854869,0,-1.227839403,-0.574623779,0.183802168,0,-1.227839403,-0.574623779,0.183802168,1,1,1,1
10679,0,-0.079520659,-0.021638855,0.272662003,0,-0.575907577,-0.229762978,0.326422403,0,0.415196031,0.356118856,0.358861268,0,-1.211073957,-0.533273489,0.187670493,0,-1.211073957,-0.533273489,0.187670493,1,1,1,1
10826,0,-0.073288278,-0.004947939,0.264484203,0,-0.562076597,-0.212624665,0.322063489,0,0.432435902,0.312125266,0.382923867,0,-1.193587767,-0.502664051,0.19419894,0,-1.193587767,-0.502664051,0.19419894,1,1,1,1
10909,0,-0.073288278,-0.004947939,0.246369554,0,-0.557669518,-0.202348974,0.328784243,0,0.448491243,0.300050885,0.490825753,0,-1.174520204,-0.484942523,0.197120341,0,-1.174520204,-0.484942523,0.197120341,1,1,1,1
10964,0,-0.073288278,-0.004947939,0.23129794,0,-0.560388033,-0.200283729,0.343655351,0,0.465971788,0.308435965,0.584973735,0,-1.157193765,-0.474672051,0.196232525,0,-1.157193765,-0.474672051,0.196232525,1,1,1,1
11107,0,-0.073288278,-0.004947939,0.215921476,0,-0.563520101,-0.202790558,0.342791337,0,0.487536482,0.331284824,0.616141761,0,-1.144116186,-0.464070103,0.192785979,0,-1.144116186,-0.464070103,0.192785979,1,1,1,1
11209,0,-0.073288278,-0.004947939,0.209661943,0,-0.56360375,-0.207246289,0.34397381,0,0.510072505,0.36494808,0.649000443,0,-1.137738898,-0.448983745,0.186595783,0,-1.137738898,-0.448983745,0.186595783,1,1,1,1
11265,0,-0.073288278,-0.004947939,0.204628818,0,-0.56122735,-0.212591762,0.344990985,0,0.527046595,0.406833613,0.685587232,0,-1.137162811,-0.431005838,0.17646462,0,-1.137162811,-0.431005838,0.17646462,1,1,1,1
11411,0,-0.073288278,7.46E-04,0.201123142,0,-0.560081753,-0.219238721,0.337899415,0,0.531659571,0.452112467,0.734087021,0,-1.138901159,-0.414133603,0.158551244,0,-1.138901159,-0.414133603,0.158551244,1,1,1,1
11490,0,-0.073781094,0.038495596,0.190067472,0,-0.563002778,-0.224941049,0.329462557,0,0.521167631,0.490019059,0.754806686,0,-1.139757173,-0.401006129,0.146146306,0,-1.139757173,-0.401006129,0.146146306,1,1,1,1
11636,0,-0.073781094,0.078839398,0.120594097,0,-0.570401168,-0.226031388,0.328889942,0,0.498246223,0.513512668,0.756595136,0,-1.138549236,-0.391751189,0.143034947,0,-1.138549236,-0.391751189,0.143034947,1,1,1,1
11694,0,-0.073781094,0.114542356,-0.075895444,0,-0.580932144,-0.221671218,0.339119371,0,0.469477576,0.520872283,0.746006573,0,-1.137245287,-0.384153865,0.148691481,0,-1.137245287,-0.384153865,0.148691481,1,1,1,1
11773,0,-0.073781094,0.130364301,-0.027286773,0,-0.594039684,-0.215002537,0.332734642,0,0.441785298,0.514014664,0.706079316,0,-1.138755822,-0.376637938,0.14101858,0,-1.138755822,-0.376637938,0.14101858,1,1,1,1
11908,0,-0.073781094,0.130364301,0.012797603,0,-0.611832543,-0.212363425,0.326554459,0,0.416515466,0.497736616,0.668273007,0,-1.145411853,-0.372669311,0.132478814,0,-1.145411853,-0.372669311,0.132478814,1,1,1,1
11992,0,-0.09231598,0.130364301,0.029144148,0,-0.637825854,-0.218578609,0.325516265,0,0.391066365,0.477432898,0.636732457,0,-1.156707785,-0.378103707,0.123502999,0,-1.156707785,-0.378103707,0.123502999,1,1,1,1
12071,0,-0.122983987,0.119227644,0.05164408,0,-0.673328325,-0.233923859,0.333772283,0,0.364268594,0.457618691,0.613634952,0,-1.169879101,-0.395864766,0.113949122,0,-1.169879101,-0.395864766,0.113949122,1,1,1,1
12219,0,-0.207735775,0.085623003,0.036746618,0,-0.714023571,-0.254023523,0.36100867,0,0.344807982,0.444283826,0.567419535,0,-1.183952834,-0.422282058,0.101033799,0,-1.183952834,-0.422282058,0.101033799,1,1,1,1
12276,0,-0.353030242,0.032401002,0.036746618,0,-0.750942028,-0.270840579,0.377654424,0,0.343345427,0.442031824,0.559549164,0,-1.198909438,-0.4503353,0.090871043,0,-1.198909438,-0.4503353,0.090871043,1,1,1,1
12361,0,-0.514993734,0.002683287,0.018389827,0,-0.777996427,-0.279522538,0.38364443,0,0.367192267,0.450151703,0.515976765,0,-1.212987511,-0.47311753,0.071847869,0,-1.212987511,-0.47311753,0.071847869,1,1,1,1
12507,0,-0.5581212,0.002988628,-0.018104881,0,-0.79407504,-0.282190332,0.376166227,0,0.408068791,0.468188745,0.469664469,0,-1.222926272,-0.491093364,0.05337841,0,-1.222926272,-0.491093364,0.05337841,1,1,1,1
12589,0,-0.5581212,0.002988628,-0.018104881,0,-0.806410222,-0.285556615,0.371400143,0,0.448929397,0.488368996,0.496447487,0,-1.227806739,-0.510820395,0.050931474,0,-1.227806739,-0.510820395,0.050931474,1,1,1,1
12735,0,-0.5581212,0.002988628,-0.018104881,0,-0.821994019,-0.295345768,0.36089932,0,0.47757955,0.500689638,0.520355547,0,-1.228427054,-0.536548726,0.049875658,0,-1.228427054,-0.536548726,0.049875658,1,1,1,1
12792,0,-0.557395648,0.002988628,-0.018104881,0,-0.84281066,-0.311551347,0.347708877,0,0.492003577,0.499714967,0.532538293,0,-1.226917645,-0.566901293,0.048297929,0,-1.226917645,-0.566901293,0.048297929,1,1,1,1
12897,0,-0.531314461,0.002988628,-0.018104881,0,-0.864246527,-0.331149075,0.33572637,0,0.499101472,0.484924288,0.510157507,0,-1.225841735,-0.596990017,0.039185406,0,-1.225841735,-0.596990017,0.039185406,1,1,1,1
13024,0,-0.47615655,0.002988628,-0.018104881,0,-0.879055737,-0.351585967,0.323811268,0,0.505400419,0.46228187,0.491434797,0,-1.225873805,-0.622417138,0.027948583,0,-1.225873805,-0.622417138,0.027948583,1,1,1,1
13110,0,-0.421550146,0.002988628,-0.018143549,0,-0.881500838,-0.371954598,0.311995709,0,0.514695586,0.442027999,0.478882112,0,-1.227159914,-0.642758174,0.01766635,0,-1.227159914,-0.642758174,0.01766635,1,1,1,1
13192,0,-0.403056115,-0.006170768,-0.020755448,0,-0.87244436,-0.391408585,0.302815626,0,0.523961394,0.433303541,0.475258735,0,-1.230035819,-0.661246074,0.011294472,0,-1.230035819,-0.661246074,0.011294472,1,1,1,1
13342,0,-0.411999755,-0.034773533,-0.011533591,0,-0.858116457,-0.406985568,0.298866683,0,0.529946637,0.438153704,0.480483069,0,-1.236159694,-0.682063734,0.009159824,0,-1.236159694,-0.682063734,0.009159824,1,1,1,1
13379,0,-0.411999755,-0.101161268,-0.005268491,0,-0.845938365,-0.415816749,0.299159158,0,0.531871445,0.450030789,0.490792269,0,-1.246142211,-0.705858181,0.010793335,0,-1.246142211,-0.705858181,0.010793335,1,1,1,1
13501,0,-0.411999755,-0.122679871,-0.00543762,0,-0.837232399,-0.417994037,0.297927313,0,0.52942359,0.459922394,0.504740277,0,-1.26027545,-0.72930306,0.015272179,0,-1.26027545,-0.72930306,0.015272179,1,1,1,1
13648,0,-0.411999755,-0.116802869,0.020672558,0,-0.829841782,-0.418281301,0.287972588,0,0.520386257,0.462966748,0.521197875,0,-1.277396662,-0.749122396,0.022040535,0,-1.277396662,-0.749122396,0.022040535,1,1,1,1
13685,0,-0.412740642,-0.158009638,0.028237784,0,-0.821396371,-0.421195891,0.265870676,0,0.500541628,0.459602823,0.539581684,0,-1.296166733,-0.764547353,0.029261958,0,-1.296166733,-0.764547353,0.029261958,1,1,1,1
13829,0,-0.420783118,-0.174596656,-0.01546487,0,-0.808507853,-0.428718471,0.234648647,0,0.466332771,0.451626497,0.558314959,0,-1.314480977,-0.775810885,0.036147711,0,-1.314480977,-0.775810885,0.036147711,1,1,1,1
13886,0,-0.42392748,-0.19290259,-0.065639928,0,-0.791454829,-0.439222737,0.202279826,0,0.413474808,0.443317995,0.57372357,0,-1.330877901,-0.785711562,0.042564986,0,-1.330877901,-0.785711562,0.042564986,1,1,1,1
13969,0,-0.42392748,-0.219400552,-0.082308848,0,-0.772791622,-0.449468006,0.176925614,0,0.338518053,0.436962244,0.58093748,0,-1.344963299,-0.796031888,0.050030751,0,-1.344963299,-0.796031888,0.050030751,1,1,1,1
14114,0,-0.42392748,-0.234675864,-0.069938003,0,-0.754781406,-0.456698233,0.161395507,0,0.240762837,0.439270611,0.583468351,0,-1.355300827,-0.805333157,0.058948435,0,-1.355300827,-0.805333157,0.058948435,1,1,1,1
